Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
𝐖𝐢𝐤𝐢𝐈𝐧𝐟𝐨𝐗,@WikiInfoX,2024-05-11T16:55:29.000Z,True,Oh ... La diffamation Après tu viens faire la morale à apHatie ... Ce n'est pas fair play.,0,0,0,6.4K,[],[],['\\U0001f606'],https://pbs.twimg.com/profile_images/1786617255473586176/RS1XNUKW_normal.png,https://x.com/WikiInfoX/status/1789338552263684259,tweet_id:1789338552263684259
GH,@kh93387,2024-05-12T14:44:18.000Z,True,"Arrêtez votre propagande 
1- il a dit beaucoup de bien de la chanteuse Israélienne ! Qui chante très bien au demeurant 
2-les compositeurs de Slimane sont juifs donc on ne peut pas le soupçonner d’avoir un apriori sur la religion juive surtout dans le milieu artistique où les",0,0,0,298,[],[],[],https://pbs.twimg.com/profile_images/1722876696062279680/b58xT7Im_normal.jpg,https://x.com/kh93387/status/1789667925210607866,tweet_id:1789667925210607866
Obsevydial,@Obsevydial,2024-05-11T16:51:49.000Z,True,"Perso, je viens de découvrir la ""vidéo complète"" 
où il répondait en anglais à quelques questions, dont, et c'est important, ce qu'il a dit de bien de la chanteuse et de la chanson qui représente l'Israël , et ensuite, on comprend mieux son départ un peu rapide , car c'est son",0,0,0,16K,[],[],[],https://pbs.twimg.com/profile_images/1952603541/T_te_de_cheval__dans_les_fleurs_jaunes...._normal.jpg,https://x.com/Obsevydial/status/1789337629583888661,tweet_id:1789337629583888661
Frederic D. 𝕏,@aragornfred,2024-05-12T17:06:22.000Z,True,"Quelle mauvaise foi  encore de la récupération politique ! je ne suis pas d’accord, tu présentes la vidéo en ton avantage pour ta campagne !",0,0,0,12,[],['@JeanMessiha'],[],https://pbs.twimg.com/profile_images/1750661716604518400/X5P8dHvG_normal.jpg,https://x.com/aragornfred/status/1789703676258328615,tweet_id:1789703676258328615
𝓔ℒ𝓘𝓢𝓐 RZ DMGROUPELISTE,@ElisaMaFrance,2024-05-11T16:53:32.000Z,False,J’ai de la mémoire ,0,0,0,12K,[],['@Slimaneoff'],[],https://pbs.twimg.com/profile_images/1775225230887149568/X-XcI-dq_normal.jpg,https://x.com/ElisaMaFrance/status/1789338059026088129,tweet_id:1789338059026088129
OuvreLesYeux,@FDavant1970,2024-05-11T17:21:34.000Z,True,#ArnaqueAuGenocide#LFIMenteurs#LFIAntisemite#Gaza,0,0,0,6.1K,[],[],[],https://pbs.twimg.com/profile_images/1775399050193338368/tOm9VbMo_normal.jpg,https://x.com/FDavant1970/status/1789345114772365612,tweet_id:1789345114772365612
xhrouet audrey,@AudreyXhrouet,2024-05-11T16:24:32.000Z,False,"Je suis souvent d’accord avec vous mais là pas du tout 
Il est là pour chanter et pas pour faire de la politique 
Il a très bien répondu lors de sa dernière interview 
Il ne faut pas tout mélanger ",0,0,0,2K,[],['@Slimaneoff'],[],https://pbs.twimg.com/profile_images/814601170538860545/-zAb-0c9_normal.jpg,https://x.com/AudreyXhrouet/status/1789330761973158244,tweet_id:1789330761973158244
Fab,@Flonflon7,2024-05-11T16:24:33.000Z,False,"Non jean il ne toune pas haineusement les talons regardes la vidéo en entier, c’est un faux procès que vous lui faites",0,0,0,1K,[],[],[],https://pbs.twimg.com/profile_images/1710646051202379776/qoB9_J-e_normal.jpg,https://x.com/Flonflon7/status/1789330765265694759,tweet_id:1789330765265694759
Leprince,@Girondi25882713,2024-05-11T16:26:15.000Z,False,"Même quand tu dis rien ,tu es antisémite. 
Bientôt il faudra pas respirer sinon on sera traité d'antisémite car l'air n'est pas Israëlien..",0,0,0,225,[],[],[],https://pbs.twimg.com/profile_images/1491511838885953543/avEjdKLY_normal.jpg,https://x.com/Girondi25882713/status/1789331194556940735,tweet_id:1789331194556940735
Bert Anne proche des Républicains,@BertAnne4,2024-05-11T16:27:08.000Z,False,Vraiment vous ne valez pas mieux que les Insoumis.,0,0,0,82,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/BertAnne4/status/1789331414741094700,tweet_id:1789331414741094700
